,Title,Runtime (mins),Year,Release Date,IMDb Rating,Num Votes,Rotten Tomatoes Rating,Metascore,Box Office
202,Alien,117 min,1979,22 Jun 1979,8.5,"714,875",97%,89,N/A
203,Blade Runner,117 min,1982,25 Jun 1982,8.2,"628,731",90%,89,N/A
204,E.T. the Extra-Terrestrial,115 min,1982,11 Jun 1982,7.9,"337,450",98%,91,N/A
205,The Outsiders,91 min,1983,25 Mar 1983,7.2,"67,669",64%,41,N/A
206,Scarface,170 min,1983,09 Dec 1983,8.3,"666,883",81%,65,"$656,161"
207,Star Wars: Episode VI - Return of the Jedi,131 min,1983,25 May 1983,8.3,"863,351",81%,58,N/A
208,Ghostbusters,105 min,1984,08 Jun 1984,7.8,"323,452",97%,71,N/A
209,Red Dawn,114 min,1984,10 Aug 1984,6.4,"47,363",46%,55,N/A
210,The Terminator,107 min,1984,26 Oct 1984,8.0,"731,313",100%,84,N/A
211,Full Metal Jacket,116 min,1987,10 Jul 1987,8.3,"611,410",91%,76,N/A
212,Die Hard,132 min,1988,20 Jul 1988,8.2,"718,735",93%,72,N/A
213,Léon: The Professional,110 min,1994,18 Nov 1994,8.6,"926,372",72%,64,N/A
214,The Usual Suspects,106 min,1995,15 Sep 1995,8.6,"904,871",89%,77,N/A
215,Heat,170 min,1995,15 Dec 1995,8.2,"524,836",86%,76,N/A
216,Independence Day,145 min,1996,03 Jul 1996,7.0,"495,708",64%,59,N/A
217,Good Will Hunting,126 min,1997,09 Jan 1998,8.3,"764,407",97%,70,N/A
218,Armageddon,151 min,1998,01 Jul 1998,6.7,"371,089",38%,42,N/A
219,The Truman Show,103 min,1998,05 Jun 1998,8.1,"840,891",94%,90,N/A
220,American Beauty,122 min,1999,01 Oct 1999,8.4,"991,882",88%,86,N/A
221,Big Daddy,93 min,1999,25 Jun 1999,6.4,"184,947",40%,41,N/A
222,The Green Mile,189 min,1999,10 Dec 1999,8.6,"1,018,004",79%,61,N/A
223,The Mummy,124 min,1999,07 May 1999,7.0,"367,576",58%,48,N/A
224,Office Space,89 min,1999,19 Feb 1999,7.8,"226,850",80%,68,N/A
225,The Sixth Sense,107 min,1999,06 Aug 1999,8.1,"845,722",86%,64,N/A
226,Toy Story 2,92 min,1999,24 Nov 1999,7.9,"473,965",100%,88,N/A
227,American Psycho,101 min,2000,14 Apr 2000,7.6,"428,590",68%,64,N/A
228,Scary Movie,88 min,2000,07 Jul 2000,6.2,"215,059",53%,48,N/A
229,Snatch,102 min,2000,19 Jan 2001,8.3,"720,038",73%,55,"$30,093,107"
230,"Monsters, Inc.",92 min,2001,02 Nov 2001,8.1,"741,936",96%,78,"$34,034,168"
231,Men in Black II,88 min,2002,03 Jul 2002,6.1,"313,007",39%,49,"$190,400,000"
232,Red Dragon,124 min,2002,04 Oct 2002,7.2,"231,681",68%,60,"$92,930,005"
233,Spider-Man,121 min,2002,03 May 2002,7.3,"640,512",90%,73,"$403,706,375"
234,Spirited Away,125 min,2001,28 Mar 2003,8.6,"557,140",97%,96,"$9,855,615"
235,Star Wars: Episode II - Attack of the Clones,142 min,2002,16 May 2002,6.6,"575,948",65%,54,"$307,900,000"
236,The Italian Job,111 min,2003,30 May 2003,7.0,"322,763",73%,68,"$105,996,316"
237,The Matrix Reloaded,138 min,2003,15 May 2003,7.2,"479,421",73%,62,"$281,500,000"
238,Pirates of the Caribbean: The Curse of the Black Pearl,143 min,2003,09 Jul 2003,8.0,"964,353",79%,63,"$305,343,252"
239,Big Fish,125 min,2003,09 Jan 2004,8.0,"389,493",75%,58,"$66,257,002"
240,Kill Bill: Vol. 1,111 min,2003,10 Oct 2003,8.1,"905,499",84%,69,N/A
241,Dodgeball: A True Underdog Story,92 min,2004,18 Jun 2004,6.7,"213,544",70%,55,"$114,173,690"
242,EuroTrip,92 min,2004,20 Feb 2004,6.6,"182,894",N/A,45,N/A
243,Harry Potter and the Prisoner of Azkaban,142 min,2004,04 Jun 2004,7.9,"491,446",90%,82,"$249,358,727"
